test_id,gene_id,gene,locus,isoform_status,CIML,MIML,log2FoldChange,p_value,q_value,significant
ENSMUST00000090006,ENSMUSG00000025809,Itgb1,8:128685653-128733200,mRNA,57.6464,29.2534,0.978628,5.00E-05,0.00091007,Up
ENSMUST00000062317,ENSMUSG00000045180,Shroom2,X:152609508-152769465,mRNA,7.77532,17.383,-1.1607,5.00E-05,0.00091007,Down
ENSMUST00000111785,ENSMUSG00000027007,Ssfa2,2:79635351-79672966,mRNA,29.4272,13.9277,1.0792,5.00E-05,0.00091007,Up
ENSMUST00000020617,ENSMUSG00000020357,Flt4,11:49609262-49652739,mRNA,1.66771,0.589712,1.49979,5.00E-05,0.00091007,Up
ENSMUST00000179030,ENSMUSG00000052331,Ankrd44,1:54645339-54926387,mRNA,7.98075,3.12652,1.35196,5.00E-05,0.00091007,Up
ENSMUST00000062387,ENSMUSG00000038026,Kcnj9,1:172320500-172329318,mRNA,13.8997,28.5314,-1.0375,5.00E-05,0.00091007,Down
ENSMUST00000111808,ENSMUSG00000006435,Neurl1a,19:47178819-47259440,mRNA,9.82165,26.9045,-1.45381,5.00E-05,0.00091007,Down
ENSMUST00000020640,ENSMUSG00000020372,Rack1,11:48800359-48817353,mRNA,250.792,102.601,1.28944,5.00E-05,0.00091007,Up
ENSMUST00000178884,ENSMUSG00000027347,Rasgrp1,2:117279992-117343001,mRNA,48.7011,109.384,-1.16737,5.00E-05,0.00091007,Down
ENSMUST00000031314,ENSMUSG00000029368,Alb,5:90460896-90476602,mRNA,0.378927,11.8073,-4.96162,5.00E-05,0.00091007,Down
ENSMUST00000178687,ENSMUSG00000094626,Cecr6,6:120488938-120493807,mRNA,6.0214,15.722,-1.38461,5.00E-05,0.00091007,Down
ENSMUST00000020655,ENSMUSG00000020387,Jade2,11:51813454-51857653,mRNA,11.1786,3.82621,1.54675,5.00E-05,0.00091007,Up
ENSMUST00000111879,ENSMUSG00000032500,Dclk3,9:111439080-111489118,mRNA,5.41069,13.3754,-1.30569,5.00E-05,0.00091007,Down
ENSMUST00000020664,ENSMUSG00000020395,Itk,11:46325149-46389515,mRNA,2.6717,0.138542,4.26936,5.00E-05,0.00091007,Up
ENSMUST00000062525,ENSMUSG00000048234,Rnf149,1:39547569-39577405,mRNA,24.7364,9.46588,1.38582,5.00E-05,0.00091007,Up
ENSMUST00000020668,ENSMUSG00000020399,Havcr2,11:46454934-46481255,mRNA,12.4943,1.56332,2.99859,5.00E-05,0.00091007,Up
ENSMUST00000020579,ENSMUSG00000020330,Hmmr,11:40701394-40733422,mRNA,2.58376,0.301698,3.09829,5.00E-05,0.00091007,Up
ENSMUST00000020699,ENSMUSG00000020424,Gatsl3,11:4218224-4222409,mRNA,5.55374,1.79931,1.62601,5.00E-05,0.00091007,Up
ENSMUST00000111668,ENSMUSG00000029471,Camkk2,5:122731169-122779382,mRNA,20.3902,69.5179,-1.76951,5.00E-05,0.00091007,Down
ENSMUST00000031366,ENSMUSG00000029414,Kntc1,5:123749725-123821593,mRNA,1.46863,0.302949,2.27732,5.00E-05,0.00091007,Up
ENSMUST00000062254,ENSMUSG00000045930,Clec14a,12:58264719-58269290,mRNA,5.16556,1.27739,2.01572,5.00E-05,0.00091007,Up
ENSMUST00000179869,ENSMUSG00000093930,Hmgcs1,13:119690378-119708260,mRNA,40.9509,114.063,-1.47786,5.00E-05,0.00091007,Down
ENSMUST00000179802,ENSMUSG00000096188,Cmtm4,8:104348190-104395807,mRNA,19.5278,33.8575,-0.793946,5.00E-05,0.00091007,Down
ENSMUST00000179734,ENSMUSG00000095779,Gm2163,4:42466751-42589938,mRNA,9.24491,18.1965,-0.97693,5.00E-05,0.00091007,Down
